plot,treatment_code,plot_code,OTC,ploughing,sensor_code
1,w,w1,YES,NO,94249144
2,c,c2,NO,NO,94238921
7,c,c7,NO,NO,94249151
8,w,w8,YES,NO,94249145
9,w,w9,YES,NO,94249153
11,c,c11,NO,NO,94249147
14,c,c14,NO,NO,94249146
16,w,w16,YES,NO,94249141
3,p,p3,NO,YES,94238924
4,wp,wp4,YES,YES,94238922
5,wp,wp5,YES,YES,94249150
6,p,p6,NO,YES,94249152
10,p,p10,NO,YES,94249149
12,wp,wp12,YES,YES,94249148
13,wp,wp13,YES,YES,94249143
15,p,p15,NO,YES,94249142
