"date","plot","treatment","mean_t_top","mean_t_bottom","mean_t_ground","mean_vwc"
2023-05-04,"1","w",19.3756510416667,18.4641927083333,16.7669270833333,25.3921802829167
2023-05-04,"10","p",17.29296875,18.05078125,16.8307291666667,17.8348364889583
2023-05-04,"11","c",17.2734375,18.4635416666667,17.1217447916667,30.0112793347917
2023-05-04,"12","wp",18.974609375,18.751953125,16.66796875,24.892123405625
2023-05-04,"13","wp",18.2272135416667,17.4368489583333,16.0455729166667,27.7119367627083
2023-05-04,"14","c",17.087890625,17.0546875,16.3509114583333,26.8732797870833
2023-05-04,"15","p",17.330078125,18.7233072916667,16.4244791666667,26.257606001875
2023-05-04,"16","w",18.259765625,17.4270833333333,15.7109375,26.0040238770833
2023-05-04,"2","c",17.9055989583333,19.9537760416667,17.9192708333333,23.6861195075
2023-05-04,"3","p",17.59375,18.296875,16.7044270833333,28.8109847958333
2023-05-04,"4","wp",18.8600260416667,17.2454427083333,16.009765625,29.9643462645833
2023-05-04,"5","wp",18.1529947916667,15.9654947916667,14.978515625,33.611187791875
2023-05-04,"6","p",17.533203125,17.9869791666667,16.72265625,29.8095137560417
2023-05-04,"7","c",17.3502604166667,18.6510416666667,16.853515625,26.2004627408333
2023-05-04,"8","w",19.4231770833333,17.6608072916667,16.0475260416667,29.5833462833333
2023-05-04,"9","w",19.5501302083333,17.6041666666667,15.830078125,29.0152145233333
2023-05-16,"1","w",11.1953125,12.9420572916667,13.8938802083333,30.130420115
2023-05-16,"10","p",9.76888020833333,10.2923177083333,12.392578125,31.0384532814583
2023-05-16,"11","c",9.81901041666667,13.46484375,14.4329427083333,40.0931073639583
2023-05-16,"12","wp",10.7415364583333,11.8274739583333,13.57421875,19.3086718977083
2023-05-16,"13","wp",10.9029947916667,11.478515625,13.4498697916667,29.6689107789583
2023-05-16,"14","c",9.68489583333333,12.3274739583333,13.55078125,34.68773165375
2023-05-16,"15","p",9.89322916666667,10.564453125,12.9869791666667,22.3920066295833
2023-05-16,"16","w",10.6458333333333,11.23046875,12.986328125,30.141786943125
